<start> geh . <end>	<start> go . <end>
<start> druckt tom ! <end>	<start> hug tom . <end>
<start> drucken sie tom ! <end>	<start> hug tom . <end>
<start> druck tom ! <end>	<start> hug tom . <end>
<start> ich bin einverstanden . <end>	<start> i agree . <end>
<start> ich weinte . <end>	<start> i cried . <end>
<start> ich habe geweint . <end>	<start> i cried . <end>
<start> ich fuhr ! <end>	<start> i drove . <end>
<start> ich bin gefahren ! <end>	<start> i drove . <end>
<start> ich fror . <end>	<start> i froze . <end>
<start> ich habe gefroren . <end>	<start> i froze . <end>
<start> ich schnarche . <end>	<start> i snore . <end>
<start> ich habe geschworen . <end>	<start> i swore . <end>
<start> ich schwur . <end>	<start> i swore . <end>
<start> ich winkte . <end>	<start> i waved . <end>
<start> ich habe gewunken . <end>	<start> i waved . <end>
<start> ich gehe . <end>	<start> I will go . <end>
<start> ich bin schlecht . <end>	<start> I am bad . <end>
<start> ich bin fett . <end>	<start> I am fat . <end>
<start> ich bin dick . <end>	<start> I am fat . <end>
<start> ich wurde getroffen ! <end>	<start> I am hit ! <end>
<start> ich bin verruckt . <end>	<start> I am mad . <end>
<start> ich bin neu . <end>	<start> I am new . <end>
<start> ich bin alt . <end>	<start> I am old . <end>
<start> ich bin traurig . <end>	<start> I am sad . <end>
<start> ich bin schuchtern . <end>	<start> I am shy . <end>
<start> ich bin nass . <end>	<start> I am wet . <end>
<start> es ist in ordnung . <end>	<start> it is ok . <end>
<start> ich bina s . <end>	<start> it is me ! <end>
<start> ich bina s . <end>	<start> it is me . <end>
<start> komm mit . <end>	<start> join us . <end>
<start> kommt mit . <end>	<start> join us . <end>
<start> behalt es ! <end>	<start> keep it . <end>
<start> behalt ihn ! <end>	<start> keep it . <end>
<start> behalt sie ! <end>	<start> keep it . <end>
<start> behalten sie ihn ! <end>	<start> keep it . <end>
<start> behalten sie sie ! <end>	<start> keep it . <end>
<start> behalten sie es ! <end>	<start> keep it . <end>
<start> behaltet ihn ! <end>	<start> keep it . <end>
<start> behaltet sie ! <end>	<start> keep it . <end>
<start> behaltet es ! <end>	<start> keep it . <end>
<start> tote es ! <end>	<start> kill it . <end>
<start> kusst mich . <end>	<start> kiss me . <end>
<start> leg dich hin ! <end>	<start> lie low . <end>
<start> hinlegen ! <end>	<start> lie low . <end>
<start> niederlegen ! <end>	<start> lie low . <end>
<start> leg dich nieder ! <end>	<start> lie low . <end>
<start> legt euch nieder ! <end>	<start> lie low . <end>
<start> legen sie sich nieder ! <end>	<start> lie low . <end>
<start> legt euch hin ! <end>	<start> lie low . <end>
<start> legen sie sich hin ! <end>	<start> lie low . <end>
<start> schlieay es ab . <end>	<start> lock it . <end>
<start> schlieaye sie ab . <end>	<start> lock it . <end>
<start> schlieay ihn ab . <end>	<start> lock it . <end>
<start> offne es ! <end>	<start> open it . <end>
<start> offnet es ! <end>	<start> open it . <end>
<start> offnen sie es ! <end>	<start> open it . <end>
<start> mach auf ! <end>	<start> open up . <end>
<start> perfekt ! <end>	<start> perfect ! <end>
<start> zieh dran . <end>	<start> pull it . <end>
<start> druck drauf . <end>	<start> push it . <end>
<start> tschuss ! <end>	<start> see you ! <end>
<start> wir sehen uns . <end>	<start> see you . <end>
<start> zeig s mir ! <end>	<start> show me . <end>
<start> halta s maul ! <end>	<start> shut up ! <end>
<start> bis spater ! <end>	<start> so long . <end>
<start> hor auf . <end>	<start> stop it . <end>
<start> nimm es . <end>	<start> take it . <end>
<start> nehmt es . <end>	<start> take it . <end>
<start> nehmen sie es . <end>	<start> take it . <end>
<start> sag es mir . <end>	<start> tell me . <end>
<start> erzahl s mir . <end>	<start> tell me . <end>
<start> tom aay . <end>	<start> tom ate . <end>
<start> tom hat gegessen . <end>	<start> tom ate . <end>
<start> thomas versteckte sich . <end>	<start> tom hid . <end>
<start> thomas hat sich versteckt . <end>	<start> tom hid . <end>
<start> tom rannte . <end>	<start> tom ran . <end>
<start> tom ist gerannt . <end>	<start> tom ran . <end>
<start> tom hat gewonnen . <end>	<start> tom won . <end>
<start> warte mal ! <end>	<start> wait up . <end>
<start> warten sie mal ! <end>	<start> wait up . <end>
<start> wartet mal ! <end>	<start> wait up . <end>
<start> wach auf ! <end>	<start> wake up ! <end>
<start> wachen sie auf ! <end>	<start> wake up ! <end>
<start> wach auf ! <end>	<start> wake up . <end>
<start> wachen sie auf ! <end>	<start> wake up . <end>
<start> wasch dir die hande . <end>	<start> wash up . <end>
<start> wasch dir das gesicht . <end>	<start> wash up . <end>
<start> wir haben verloren . <end>	<start> we lost . <end>
<start> willkommen ! <end>	<start> welcome . <end>
<start> wer hat gegessen ? <end>	<start> who ate ? <end>
<start> wer aay ? <end>	<start> who ate ? <end>
<start> wer rannte ? <end>	<start> who ran ? <end>
<start> wer ist gerannt ? <end>	<start> who ran ? <end>
<start> wer hat gewonnen ? <end>	<start> who won ? <end>
<start> du laufst . <end>	<start> you run . <end>
<start> sie laufen . <end>	<start> you run . <end>
<start> du hast gewonnen . <end>	<start> you won . <end>
<start> alle aufstehen ! <end>	<start> all rise . <end>
<start> bin ich dick ? <end>	<start> am i fat ? <end>
<start> frag sie . <end>	<start> ask them . <end>
<start> komm nicht naher ! <end>	<start> back off . <end>
<start> sei ein mann ! <end>	<start> be a man . <end>
<start> sei mutig ! <end>	<start> be brave . <end>
<start> sei tapfer ! <end>	<start> be brave . <end>
<start> seien sie tapfer ! <end>	<start> be brave . <end>
<start> seid tapfer ! <end>	<start> be brave . <end>
<start> fassen sie sich kurz . <end>	<start> be brief . <end>
<start> fass dich kurz . <end>	<start> be brief . <end>
<start> fasst euch kurz . <end>	<start> be brief . <end>
<start> sei ruhig . <end>	<start> be still . <end>
<start> ruf tom an ! <end>	<start> call tom . <end>
<start> rufe tom an ! <end>	<start> call tom . <end>
<start> rufen sie tom an ! <end>	<start> call tom . <end>
<start> ruft tom an ! <end>	<start> call tom . <end>
<start> kann ich gehen ? <end>	<start> can i go ? <end>
<start> fang mich ! <end>	<start> catch me . <end>
<start> fangen sie mich ! <end>	<start> catch me . <end>
<start> fangt mich ! <end>	<start> catch me . <end>
<start> kopf hoch ! <end>	<start> cheer up ! <end>
<start> reg dich ab ! <end>	<start> cool off ! <end>
<start> leg ihm handschellen an . <end>	<start> cuff him . <end>
<start> legen sie ihm handschellen an . <end>	<start> cuff him . <end>
<start> geh nicht . <end>	<start> do not go . <end>
<start> fahr weiter . <end>	<start> drive on . <end>
<start> finde tom . <end>	<start> find tom . <end>
<start> findet tom . <end>	<start> find tom . <end>
<start> finden sie tom . <end>	<start> find tom . <end>
<start> beheben sie das . <end>	<start> fix this . <end>
<start> behebe das . <end>	<start> fix this . <end>
<start> repariere das . <end>	<start> fix this . <end>
<start> reparieren sie das . <end>	<start> fix this . <end>
<start> geh weg ! <end>	<start> get away ! <end>
<start> verpiss dich ! <end>	<start> get away ! <end>
<start> hau ab ! <end>	<start> get away ! <end>
<start> verschwinde ! <end>	<start> get away ! <end>
<start> verdufte ! <end>	<start> get away ! <end>
<start> mach dich fort ! <end>	<start> get away ! <end>
<start> zieh leine ! <end>	<start> get away ! <end>
<start> mach dich vom acker ! <end>	<start> get away ! <end>
<start> verzieh dich ! <end>	<start> get away ! <end>
<start> verkrumele dich ! <end>	<start> get away ! <end>
<start> troll dich ! <end>	<start> get away ! <end>
<start> zisch ab ! <end>	<start> get away ! <end>
<start> pack dich ! <end>	<start> get away ! <end>
<start> mach a ne fliege ! <end>	<start> get away ! <end>
<start> schwirr ab ! <end>	<start> get away ! <end>
<start> mach die sause ! <end>	<start> get away ! <end>
<start> scher dich weg ! <end>	<start> get away ! <end>
<start> scher dich fort ! <end>	<start> get away ! <end>
<start> runter ! <end>	<start> get down ! <end>
<start> hinlegen ! <end>	<start> get down ! <end>
<start> in deckung ! <end>	<start> get down ! <end>
<start> komm runter . <end>	<start> get down . <end>
<start> kommen sie runter . <end>	<start> get down . <end>
<start> geh weg ! <end>	<start> get lost ! <end>
<start> verpiss dich ! <end>	<start> get lost ! <end>
<start> hau ab ! <end>	<start> get lost ! <end>
<start> verschwinde ! <end>	<start> get lost ! <end>
<start> verdufte ! <end>	<start> get lost ! <end>
<start> mach dich fort ! <end>	<start> get lost ! <end>
<start> zieh leine ! <end>	<start> get lost ! <end>
<start> mach dich vom acker ! <end>	<start> get lost ! <end>
<start> verzieh dich ! <end>	<start> get lost ! <end>
<start> verkrumele dich ! <end>	<start> get lost ! <end>
<start> troll dich ! <end>	<start> get lost ! <end>
<start> zisch ab ! <end>	<start> get lost ! <end>
<start> pack dich ! <end>	<start> get lost ! <end>
<start> mach a ne fliege ! <end>	<start> get lost ! <end>
<start> schwirr ab ! <end>	<start> get lost ! <end>
<start> mach die sause ! <end>	<start> get lost ! <end>
<start> scher dich weg ! <end>	<start> get lost ! <end>
<start> scher dich fort ! <end>	<start> get lost ! <end>
<start> jetzt mal ernsthaft ! <end>	<start> get real ! <end>
<start> nur zu ! <end>	<start> go ahead ! <end>
<start> mach weiter ! <end>	<start> go ahead . <end>
<start> hol tom . <end>	<start> grab tom . <end>
<start> greif ihn dir ! <end>	<start> grab him . <end>
<start> viel vergnugen ! <end>	<start> have fun . <end>
<start> viel spaay ! <end>	<start> have fun . <end>
<start> feier schon ! <end>	<start> have fun . <end>
<start> er sprach . <end>	<start> he spoke . <end>
<start> er versuchte es . <end>	<start> he tried . <end>
<start> er hat es versucht . <end>	<start> he tried . <end>
<start> er versucht es . <end>	<start> he tries . <end>
<start> er versuchte es . <end>	<start> he tries . <end>
<start> hilf tom ! <end>	<start> help tom . <end>
<start> helft tom ! <end>	<start> help tom . <end>
<start> helfen sie tom ! <end>	<start> help tom . <end>
<start> was ist das nicht suay ! <end>	<start> how cute ! <end>
<start> wie suay ! <end>	<start> how cute ! <end>
<start> wie tief ? <end>	<start> how deep ? <end>
<start> wie schon ! <end>	<start> how nice ! <end>
<start> wie unverschamt ! <end>	<start> how rude ! <end>
<start> wie unhoflich ! <end>	<start> how rude ! <end>
<start> tu mir den gefallen . <end>	<start> humor me . <end>
<start> tun sie mir den gefallen . <end>	<start> humor me . <end>
<start> beeil dich ! <end>	<start> hurry up . <end>
<start> beeil dich . <end>	<start> hurry up . <end>
<start> mach hin ! <end>	<start> hurry up . <end>
<start> ich kann gehen . <end>	<start> i can go . <end>
<start> ich fluchte . <end>	<start> i cursed . <end>
<start> ich habe geflucht . <end>	<start> i cursed . <end>
<start> ich habe es geschafft . <end>	<start> i did it . <end>
<start> ich hab s gemacht . <end>	<start> i did it . <end>
<start> ich komme klar . <end>	<start> i get by . <end>
<start> ich komme zurecht . <end>	<start> i get by . <end>
<start> ich komme uber die runden . <end>	<start> i get by . <end>
<start> ich verstehe . <end>	<start> i get it . <end>
<start> ich habe es verstanden . <end>	<start> i got it . <end>
<start> ich habe es bekommen . <end>	<start> i got it . <end>
<start> ich hab s . <end>	<start> i got it . <end>
<start> ich half . <end>	<start> i helped . <end>
<start> ich habe geholfen . <end>	<start> i helped . <end>
<start> ich bin gesprungen . <end>	<start> i jumped . <end>
<start> ich stohnte . <end>	<start> i moaned . <end>
<start> ich achzte . <end>	<start> i moaned . <end>
<start> ich nickte . <end>	<start> i nodded . <end>
<start> ich hielt an . <end>	<start> i paused . <end>
<start> ich pausierte . <end>	<start> i paused . <end>
<start> ich betete . <end>	<start> i prayed . <end>
<start> ich weigere mich . <end>	<start> i refuse . <end>
<start> ich trete zuruck . <end>	<start> i resign . <end>
<start> ich rastete . <end>	<start> i rested . <end>
<start> ich rasierte mich . <end>	<start> i shaved . <end>
<start> ich habe mich rasiert . <end>	<start> i shaved . <end>
<start> ich lachelte . <end>	<start> i smiled . <end>
<start> ich blieb . <end>	<start> i stayed . <end>
<start> ich bin dageblieben . <end>	<start> i stayed . <end>
<start> ich benutze es . <end>	<start> i use it . <end>
<start> ich habe gewartet . <end>	<start> i waited . <end>
<start> ich blinzelte . <end>	<start> i winked . <end>
<start> ich zwinkerte . <end>	<start> i winked . <end>
<start> ich gahnte . <end>	<start> i yawned . <end>
<start> ich habe gegahnt . <end>	<start> i yawned . <end>
<start> ich werde zahlen . <end>	<start> I will pay . <end>
<start> ich werde es versuchen . <end>	<start> I will try . <end>
<start> ich bin dj . <end>	<start> I am a dj . <end>
<start> ich bin wieder da . <end>	<start> I am back . <end>
<start> ich bin glatzkopfig . <end>	<start> I am bald . <end>
<start> ich habe eine glatze . <end>	<start> I am bald . <end>
<start> ich bin beschaftigt . <end>	<start> I am busy . <end>
<start> ich habe zu tun . <end>	<start> I am busy . <end>
<start> ich bin cool . <end>	<start> I am cool . <end>
<start> ich bin taub . <end>	<start> I am deaf . <end>
<start> ich bin gehorlos . <end>	<start> I am deaf . <end>
<start> ich bin gerecht . <end>	<start> I am fair . <end>
<start> mir geht s gut . <end>	<start> I am fine . <end>
<start> mir geht es gut . <end>	<start> I am fine . <end>
<start> es geht mir gut . <end>	<start> I am fine . <end>
<start> ich bin frei . <end>	<start> I am free . <end>
<start> ich bin satt . <end>	<start> I am full . <end>
<start> ich bin dabei . <end>	<start> I am game . <end>
<start> ich mache mit . <end>	<start> I am game . <end>
<start> mir geht s gut . <end>	<start> I am good . <end>
<start> ich bin hier . <end>	<start> I am here . <end>
<start> ich bin zu hause . <end>	<start> I am home . <end>
<start> ich komme zu spat . <end>	<start> I am late . <end>
<start> ich habe mich verirrt . <end>	<start> I am lost . <end>
<start> ich bin gemein . <end>	<start> I am mean . <end>
<start> ich bin der nachste . <end>	<start> I am next . <end>
<start> es geht mir gut . <end>	<start> I am okay . <end>
<start> ich bin reich . <end>	<start> I am rich . <end>
<start> ich bin sicher . <end>	<start> I am safe . <end>
<start> ich bin krank ! <end>	<start> I am sick . <end>
<start> ich bin sicher . <end>	<start> I am sure . <end>
<start> ich bin groay . <end>	<start> I am tall . <end>
<start> ich bin dunn . <end>	<start> I am thin . <end>
<start> ich bin ordentlich . <end>	<start> I am tidy . <end>
<start> ich bin hasslich . <end>	<start> I am ugly . <end>
<start> ich bin schwach . <end>	<start> I am weak . <end>
<start> mir geht es gut . <end>	<start> I am well . <end>
<start> das hilft . <end>	<start> it helps . <end>
<start> es tut weh . <end>	<start> it hurts . <end>
<start> es schmerzt . <end>	<start> it hurts . <end>
<start> es klappt . <end>	<start> it works . <end>
<start> es funktioniert . <end>	<start> it works . <end>
<start> es ist tom . <end>	<start> it is tom . <end>
<start> es ist trocken . <end>	<start> it is dry . <end>
<start> es ist seins . <end>	<start> it is his . <end>
<start> es ist heiay . <end>	<start> it is hot . <end>
<start> sie ist heiay . <end>	<start> it is hot . <end>
<start> er ist heiay . <end>	<start> it is hot . <end>
<start> es ist neu . <end>	<start> it is new . <end>
<start> es ist traurig . <end>	<start> it is sad . <end>
<start> das ist tee . <end>	<start> it is tea . <end>
<start> eintritt verboten ! <end>	<start> keep out ! <end>
<start> komm nicht herein . <end>	<start> keep out . <end>
<start> kein zutritt . <end>	<start> keep out . <end>
<start> tote thomas ! <end>	<start> kill tom . <end>
<start> totet thomas ! <end>	<start> kill tom . <end>
<start> toten sie thomas ! <end>	<start> kill tom . <end>
<start> kusse tom ! <end>	<start> kiss tom . <end>
<start> kussen sie tom ! <end>	<start> kiss tom . <end>
<start> kusst tom ! <end>	<start> kiss tom . <end>
<start> geh weg ! <end>	<start> leave us . <end>
<start> gehen sie weg . <end>	<start> leave us . <end>
<start> lass uns allein . <end>	<start> leave us . <end>
<start> lassen sie uns allein . <end>	<start> leave us . <end>
<start> lass uns gehen ! <end>	<start> let us go ! <end>
<start> auf geht s ! <end>	<start> let us go ! <end>
<start> gehen wir ! <end>	<start> let us go ! <end>
<start> lasst uns gehen . <end>	<start> let us go ! <end>
<start> lass uns losgehen . <end>	<start> let us go ! <end>
<start> lasst uns losgehen . <end>	<start> let us go ! <end>
<start> auf , auf ! <end>	<start> let us go ! <end>
<start> vorsicht ! <end>	<start> look out ! <end>
<start> heirate mich . <end>	<start> marry me . <end>
<start> darf ich gehen ? <end>	<start> may i go ? <end>
<start> rette tom ! <end>	<start> save tom . <end>
<start> rettet tom ! <end>	<start> save tom . <end>
<start> retten sie tom ! <end>	<start> save tom . <end>
<start> sie kam . <end>	<start> she came . <end>
<start> sie ist gegangen . <end>	<start> she left . <end>
<start> sie log . <end>	<start> she lied . <end>
<start> sie rennt . <end>	<start> she runs . <end>
<start> setz dich ! <end>	<start> sit down ! <end>
<start> setzen sie sich ! <end>	<start> sit down ! <end>
<start> setz dich ! <end>	<start> sit down . <end>
<start> sprich lauter ! <end>	<start> speak up ! <end>
<start> stehen sie auf ! <end>	<start> stand up ! <end>
<start> steht auf ! <end>	<start> stand up ! <end>
<start> stehe auf ! <end>	<start> stand up ! <end>
<start> steh auf . <end>	<start> stand up . <end>
<start> halte tom auf ! <end>	<start> stop tom . <end>
<start> halten sie tom auf ! <end>	<start> stop tom . <end>
<start> haltet tom auf ! <end>	<start> stop tom . <end>
<start> nimm tom . <end>	<start> take tom . <end>
<start> probier es mal . <end>	<start> taste it . <end>
<start> sag es tom . <end>	<start> tell tom . <end>
<start> sagen sie es tom . <end>	<start> tell tom . <end>
<start> erzahl es tom . <end>	<start> tell tom . <end>
<start> erzahlen sie tom davon . <end>	<start> tell tom . <end>
<start> sagt es tom . <end>	<start> tell tom . <end>
<start> hervorragend ! <end>	<start> terrific ! <end>
<start> sagenhaft ! <end>	<start> terrific ! <end>
<start> wunderbar ! <end>	<start> terrific ! <end>
<start> sie haben gewonnen . <end>	<start> they won . <end>
