geh.	go.
runter!	get down!
hinlegen!	get down!
in deckung!	get down!
komm runter.	get down.
kommen sie runter.	get down.
geh weg!	get lost!
verpiss dich!	get lost!
hau ab!	get lost!
verschwinde!	get lost!
verdufte!	get lost!
mach dich fort!	get lost!
zieh leine!	get lost!
mach dich vom acker!	get lost!
verzieh dich!	get lost!
verkrumele dich!	get lost!
troll dich!	get lost!
zisch ab!	get lost!
pack dich!	get lost!
mach ’ne fliege!	get lost!
schwirr ab!	get lost!
mach die sause!	get lost!
scher dich weg!	get lost!
scher dich fort!	get lost!
jetzt mal ernsthaft!	get real!
nur zu!	go ahead!
mach weiter!	go ahead.
hol tom.	grab tom.
greif ihn dir!	grab him.
viel vergnugen!	have fun.
viel spaß!	have fun.
feier schon!	have fun.
er sprach.	he spoke.
er versuchte es.	he tried.
er hat es versucht.	he tried.
er versucht es.	he tries.
er versuchte es.	he tries.
hilf tom!	help tom.
helft tom!	help tom.
helfen sie tom!	help tom.
was ist das nicht suß!	how cute!
wie suß!	how cute!
wie tief?	how deep?
wie schon!	how nice!
wie unverschamt!	how rude!
wie unhoflich!	how rude!
tu mir den gefallen.	humor me.
tun sie mir den gefallen.	humor me.
beeil dich!	hurry up.
beeil dich.	hurry up.
mach hin!	hurry up.
ich kann gehen.	i can go.
ich fluchte.	i cursed.
ich habe geflucht.	i cursed.
ich habe es geschafft.	i did it.
ich hab's gemacht.	i did it.
ich komme klar.	i get by.
ich komme zurecht.	i get by.
ich komme uber die runden.	i get by.
ich verstehe.	i get it.
ich habe es verstanden.	i got it.
ich habe es bekommen.	i got it.
ich hab's.	i got it.
ich half.	i helped.
ich habe geholfen.	i helped.
ich bin gesprungen.	i jumped.
ich stohnte.	i moaned.
ich achzte.	i moaned.
ich nickte.	i nodded.
ich hielt an.	i paused.
ich pausierte.	i paused.
ich betete.	i prayed.
ich weigere mich.	i refuse.
ich trete zuruck.	i resign.
ich rastete.	i rested.
ich rasierte mich.	i shaved.
ich habe mich rasiert.	i shaved.
ich lachelte.	i smiled.
ich blieb.	i stayed.
ich bin dageblieben.	i stayed.
ich benutze es.	i use it.
ich habe gewartet.	i waited.
ich blinzelte.	i winked.
ich zwinkerte.	i winked.
ich gahnte.	i yawned.
ich habe gegahnt.	i yawned.
ich werde zahlen.	i'll pay.
ich werde es versuchen.	i'll try.
ich bin dj.	i'm a dj.
ich bin wieder da.	i'm back.
ich bin glatzkopfig.	i'm bald.
ich habe eine glatze.	i'm bald.
ich bin beschaftigt.	i'm busy.
ich habe zu tun.	i'm busy.
ich bin cool.	i'm cool.
ich bin taub.	i'm deaf.
ich bin gehorlos.	i'm deaf.
ich bin gerecht.	i'm fair.
mir geht's gut.	i'm fine.
mir geht es gut.	i'm fine.
es geht mir gut.	i'm fine.
ich bin frei.	i'm free.
ich bin satt.	i'm full.
ich bin dabei.	i'm game.
ich mache mit.	i'm game.
mir geht's gut.	i'm good.
ich bin hier.	i'm here.
ich bin zu hause.	i'm home.
ich komme zu spat.	i'm late.
ich habe mich verirrt.	i'm lost.
ich bin gemein.	i'm mean.
ich bin der nachste.	i'm next.
es geht mir gut.	i'm okay.
ich bin reich.	i'm rich.
ich bin sicher.	i'm safe.
ich bin krank!	i'm sick.
ich bin sicher.	i'm sure.
ich bin groß.	i'm tall.
ich bin dunn.	i'm thin.
ich bin ordentlich.	i'm tidy.
ich bin hasslich.	i'm ugly.
ich bin schwach.	i'm weak.
mir geht es gut.	i'm well.
das hilft.	it helps.
es tut weh.	it hurts.
es schmerzt.	it hurts.
es klappt.	it works.
es funktioniert.	it works.
es ist tom.	it's tom.
es ist trocken.	it's dry.
es ist seins.	it's his.
es ist heiß.	it's hot.
sie ist heiß.	it's hot.
er ist heiß.	it's hot.
es ist neu.	it's new.
es ist traurig.	it's sad.
das ist tee.	it's tea.
eintritt verboten!	keep out!
komm nicht herein.	keep out.
kein zutritt.	keep out.
tote thomas!	kill tom.
totet thomas!	kill tom.
toten sie thomas!	kill tom.
kusse tom!	kiss tom.
kussen sie tom!	kiss tom.
kusst tom!	kiss tom.
geh weg!	leave us.
gehen sie weg.	leave us.
lass uns allein.	leave us.
lassen sie uns allein.	leave us.
lass uns gehen!	let's go!
auf geht's!	let's go!
gehen wir!	let's go!
lasst uns gehen.	let's go!
lass uns losgehen.	let's go!
lasst uns losgehen.	let's go!
auf, auf!	let's go!
vorsicht!	look out!
heirate mich.	marry me.
darf ich gehen?	may i go?
rette tom!	save tom.
rettet tom!	save tom.
retten sie tom!	save tom.
sie kam.	she came.
sie ist gegangen.	she left.
sie log.	she lied.
sie rennt.	she runs.
setz dich!	sit down!
setzen sie sich!	sit down!
setz dich!	sit down.
sprich lauter!	speak up!
stehen sie auf!	stand up!
steht auf!	stand up!
stehe auf!	stand up!
steh auf.	stand up.
halte tom auf!	stop tom.
halten sie tom auf!	stop tom.
haltet tom auf!	stop tom.
nimm tom.	take tom.
probier es mal.	taste it.
sag es tom.	tell tom.
sagen sie es tom.	tell tom.
erzahl es tom.	tell tom.
erzahlen sie tom davon.	tell tom.
sagt es tom.	tell tom.
hervorragend!	terrific!
sagenhaft!	terrific!
wunderbar!	terrific!
sie haben gewonnen.	they won.
tom kam.	tom came.
tom ist gekommen.	tom came.
tom ist gestorben.	tom died.
tom starb.	tom died.
tom fiel.	tom fell.
tom ist gefallen.	tom fell.
tom wusste es.	tom knew.
tom hat es gewusst.	tom knew.
tom wusste bescheid.	tom knew.
tom ist gegangen.	tom left.
tom ging.	tom left.
tom log.	tom lied.
tom lugt.	tom lies.
tom hat verloren.	tom lost.
tom hat gezahlt.	tom paid.
tom hat aufgehort.	tom quit.
tom sang.	tom sang.
thomas spuckte.	tom spit.
thomas hat gespuckt.	tom spit.
tom schwamm.	tom swam.
tom ist geschwommen.	tom swam.
tom ging.	tom went.
tom weinte.	tom wept.
tom ist auf.	tom's up.
zu spat.	too late.
fass es an.	touch it.
vertraue mir.	trust me.
vertraut mir!	trust me.
vertrauen sie mir!	trust me.
versuch es richtig!	try hard.
probier mal.	try some.
probier mal!	try this.
nimm das hier!	use this.
warnen sie tom.	warn tom.
warne tom.	warn tom.
schau mir zu.	watch me.
schauen sie mir zu.	watch me.
beobachte uns.	watch us.
beobachten sie uns.	watch us.
schau uns zu.	watch us.
schaut uns zu.	watch us.
schauen sie uns zu.	watch us.
beobachtet uns.	watch us.
wir stimmen zu.	we agree.
wir sind einverstanden.	we agree.
wir haben es versucht.	we tried.
wir versuchten es.	we tried.
wir werden gehen.	we'll go.
wir sind in ordnung.	we're ok.
wozu?	what for?
was fur ein spaß!	what fun!
wer bin ich?	who am i?
wer ist gekommen?	who came?
wer kam?	who came?
wer ist gestorben?	who died?
wer fiel?	who fell?
wer ist gefallen?	who fell?
wer hat verloren?	who lost?
wer hat aufgehort?	who quit?
wer ist ausgeschieden?	who quit?
wer schwamm?	who swam?
wer ist geschwommen?	who swam?
wer ist er?	who's he?
schreib mir!	write me.
schreiben sie mir!	write me.
schreibt mir!	write me.
sie haben verloren.	you lost.
du hast verloren.	you lost.
ihr habt verloren.	you lost.
zielen. feuer!	aim. fire!
bin ich tot?	am i dead?
bin ich zu spat?	am i late?
antworten sie mir.	answer me.
setz dich!	be seated.
setzen sie sich.	be seated.
vogel fliegen.	birds fly.
gesundheit.	bless you.
ruf zuhause an!	call home!
rufen sie zuhause an!	call home!
beruhige dich!	calm down!
beruhige dich!	calm down.
beruhigen sie sich!	calm down.
beruhigen sie sich.	calm down.
kann ich essen?	can i eat?
konnen wir gehen?	can we go?
fang tom!	catch tom.
fange tom!	catch tom.
fangen sie tom!	catch tom.
fangt tom!	catch tom.
entspann dich.	chill out.
komm wieder!	come back.
komm hierher.	come here.
komm her!	come here.
kommt heim!	come home.
komm heim!	come home.
komm hierher!	come over!
komm her!	come over.
komm bald.	come soon.
kommen sie bald.	come soon.
beruhige dich!	cool down.
habe ich gewonnen?	did i win?
mach es jetzt!	do it now.
hunde bellen.	dogs bark.
frag nicht.	don't ask.
weine nicht!	don't cry.
weint nicht.	don't cry.
weinen sie nicht.	don't cry.
weinen sie nicht!	don't cry.
weint nicht!	don't cry.
stirb nicht!	don't die.
luge nicht!	don't lie.
luge nicht.	don't lie.
lauf nicht.	don't run.
es tut mir leid.	excuse me.
entschuldigung!	excuse me.
entschuldigung.	excuse me.
entschuldigen sie!	excuse me.
fantastisch!	fantastic!
ganz toll!	fantastic!
fuhl mal.	feel this.
folge mir.	follow me.
vergiss es!	forget it!
daraus wird nichts.	forget it!
vergiss es.	forget it.
das kannst du knicken.	forget it.
vergiss mich!	forget me.
vergesst mich!	forget me.
vergessen sie mich!	forget me.
mach dich bereit!	get ready.
mach dich fertig.	get ready.
nur zu!	go for it.
tue es.	go for it.
hol's dir!	go get it.
geh rein!	go inside.
komm rein.	go inside.
geh schlafen!	go to bed.
geh ins bett!	go to bed.
geht ins bett!	go to bed.
legt euch schlafen!	go to bed.
gute nacht.	goodnight.
schonen abend.	goodnight.
nimm das.	grab that.
hol das.	grab that.
hande weg!	hands off.
nimm dir davon.	have some.
nehmen sie davon.	have some.
er ist krank.	he is ill.
er ist alt.	he is old.
er rasierte sich.	he shaved.
er lachelte.	he smiled.
er ist dj.	he's a dj.
er ist plattenaufleger.	he's a dj.
er ist schnell.	he's fast.
er ist gut.	he's good.
er ist trage.	he's lazy.
er ist reich.	he's rich.
er ist sexy.	he's sexy.
fahr richtung osten.	head east.
fahren sie richtung osten.	head east.
fahrt richtung osten.	head east.
hier bin ich.	here i am.
hier sind funf dollar.	here's $5.
nicht schießen!	hold fire.
halt das!	hold this.
halt das mal.	hold this.
halten sie das!	hold this.
haltet das!	hold this.
schrecklich!	how awful!
wie ist die lage?	how is it?
wie seltsam!	how weird!
lass tom doch seinen willen.	humor tom.
lasst tom doch seinen willen.	humor tom.
ich habe mich verirrt.	i am lost.
es geht mir gut.	i am okay.
ich bin sicher.	i am sure.
ich bin groß.	i am tall.
mir geht es gut.	i am well.
es geht mir gut.	i am well.
ich bin einverstanden.	i approve.
ich kann fliegen.	i can fly.
ich kann laufen.	i can run.
ich kann rennen.	i can run.
ich kann ski fahren.	i can ski.
ich kann gewinnen.	i can win.
ich anderte mich.	i changed.
ich habe geschummelt.	i cheated.
ich klatschte.	i clapped.
ich hustete.	i coughed.
ich habe gehustet.	i coughed.
ich entkam.	i escaped.
ich bin entkommen.	i escaped.
ich wurde ohnmachtig.	i fainted.
ich fiel in ohnmacht.	i fainted.
ich furchte, ja.	i fear so.
ich runzelte die stirn.	i frowned.
ich habe aufgegeben.	i gave up.
ich gab auf.	i gave up.
ich verstehe, was du meinst.	i get you.
ich kicherte.	i giggled.
ich gebe nach.	i give in.
ich fuge mich.	i give in.
ich wurde wutend.	i got mad.
ich wurde bose.	i got mad.
ich habe dich.	i got you.
ich hatte spaß.	i had fun.
ich habe mich amusiert.	i had fun.
ich habe es.	i have it.
ich habe tom geschlagen.	i hit tom.
ich schlug tom.	i hit tom.
das hoffe ich.	i hope so.
ich hoffe es.	i hope so.
ich habe aufgelegt.	i hung up.
ich habe mich beeilt.	i hurried.
ich wusste es.	i knew it.
ich wusste das.	i knew it.
ich lachte.	i laughed.
das gefallt mir.	i like it.
es ist mir recht.	i like it.
ich habe ihn verloren.	i lost it.
ich liebe es!	i love it!
ich liebe es.	i love it.
ich habe es gemacht.	i made it.
ich habe es geschafft.	i made it.
vielleicht gewinne ich.	i may win.
ich meine es so!	i mean it!
ich meine es ernst!	i mean it!
ich meine es ernst.	i mean it.
es ist ernst gemeint von mir.	i mean it.
ich habe tom getroffen.	i met tom.
ich traf tom.	i met tom.
ich bin tom begegnet.	i met tom.
ich habe ihn getroffen.	i met him.
ich vermisse es.	i miss it.
es fehlt mir.	i miss it.
ich versprech's.	i promise.
ich verspreche es.	i promise.
ich entspanne mich.	i relaxed.
ich habe mich entspannt.	i relaxed.
ich ging in pension.	i retired.
ich sagte nein.	i said no.
ich habe tom gesehen.	i saw tom.
ich habe ihn gesehen.	i saw him.
ich habe einen gesehen.	i saw one.
ich habe dich gesehen.	i saw you.
ich habe euch gesehen.	i saw you.
ich habe sie gesehen.	i saw you.
ich sehe tom.	i see tom.
ich rutschte aus.	i slipped.
ich bin ausgerutscht.	i slipped.
ich beschleunigte.	i sped up.
ich horte auf.	i stopped.
ich stoppte.	i stopped.
ich nahm es.	i took it.
ich habe es genommen.	i took it.
ich mochte es.	i want it.
ich will es.	i want it.
ich war neu.	i was new.
ich war schuchtern.	i was shy.
ich gehe.	i will go.
ich werde gehen.	i will go.
ich wachte auf.	i woke up.
ich wurde es tun.	i'd do it.
ich wurde gehen.	i'd leave.
ich werde anrufen.	i'll call.
ich werde kommen.	i'll come.
ich werde kochen.	i'll cook.
ich werde scheitern.	i'll fail.
ich helfe.	i'll help.
ich werde leben.	i'll live.
ich werde gehorchen.	i'll obey.
ich werde aufhoren.	i'll quit.
ich werde abbrechen.	i'll quit.
ich werde singen.	i'll sing.
ich werde bleiben.	i'll stay.
ich werde aufhoren.	i'll stop.
ich werde reden.	i'll talk.
ich werde warten.	i'll wait.
ich gehe zu fuß.	i'll walk.
ich werde zu fuß gehen.	i'll walk.
ich bin ein mann.	i'm a man.
ich bin eine spionin.	i'm a spy.
ich bin spion.	i'm a spy.
ich bin spionin.	i'm a spy.
ich bin sauer.	i'm angry.
ich bin wach.	i'm awake.
ich bin blind.	i'm blind.
ich bin gelangweilt.	i'm bored.
mir ist langweilig.	i'm bored.
ich bin knapp bei kasse.	i'm broke.
ich bin pleite.	i'm broke.
ich bin verruckt.	i'm crazy.
ich bin geheilt.	i'm cured.
ich bin betrunken.	i'm drunk.
ich bin blau.	i'm drunk.
ich werde bald sterben.	i'm dying.
ich bin fruh dran.	i'm early.
ich bin erster.	i'm first.
ich bin erste.	i'm first.
ich bin pingelig.	i'm fussy.
ich gehe jetzt.	i'm going.
ich bin glucklich.	i'm happy.
ich bin froh.	i'm happy.
ich luge.	i'm lying.
ich bin bedurftig.	i'm needy.
ich bin fett.	i'm obese.
ich bin pingelig.	i'm picky.
ich bin wahlerisch.	i'm picky.
ich bin soweit!	i'm ready!
ich bin soweit.	i'm ready.
ich bin so weit.	i'm ready.
ich habe recht.	i'm right.
ich habe recht.	i'm right.
ich bin nuchtern.	i'm sober.
es tut mir leid.	i'm sorry.
entschuldigung!	i'm sorry.
ich stecke fest.	i'm stuck.
ich bin mude!	i'm tired.
ich bin mude.	i'm tired.
ich bin zah.	i'm tough.
ich bin verargert.	i'm upset.
ich bin besturzt.	i'm upset.
ich gehore dir.	i'm yours.
ich habe verloren.	i've lost.
beachte es gar nicht!	ignore it.
beachten sie es gar nicht!	ignore it.
ist tom okay?	is tom ok?
ist tom da?	is tom in?
ist er tom?	is he tom?
ist es schlimm?	is it bad?
ist das weit?	is it far?
ist es heiß?	is it hot?
ist es neu?	is it new?
es brannte.	it burned.
es verbrannte.	it burned.
es schuttete.	it poured.
es hat geschneit.	it snowed.
da ist doch was faul.	it stinks.
es hat geklappt.	it worked.
das hat funktioniert.	it worked.
es ist halb vier.	it's 3:30.
es ist 7:45 uhr.	it's 7:45.
es ist sieben uhr funfundvierzig.	it's 7:45.
es ist 8:30 uhr.	it's 8:30.
es ist viertel nach neun.	it's 9:15.
es ist 9.15 uhr.	it's 9:15.
das ist ein fernseher.	it's a tv.
es ist kalt.	it's cold.
es ist kuhl.	it's cool.
es ist dunkel.	it's dark.
das ist einfach.	it's easy.
es ist einfach.	it's easy.
es ist gerecht.	it's fair.
es ist frei.	it's free.
es ist verschwunden.	it's gone.
es ist weg.	it's gone.
das ist hart.	it's hard.
es ist hier.	it's here.
es ist spat.	it's late.
es ist meins.	it's mine.
sie gehort mir.	it's mine.
er gehort mir.	it's mine.
es ist in ordnung.	it's okay.
es ist geoffnet.	it's open.
es ist unsers.	it's ours.
es ist vorbei.	it's over.
es ist sand.	it's sand.
es ist wahr.	it's true.
es ist arbeit.	it's work.
das ist meine arbeit.	it's work.
spring runter!	jump down.
schwimm einfach.	just swim.
bleib weg.	keep away.
bleibt weg.	keep away.
bleiben sie weg.	keep away.
bleiben sie zuruck.	keep back.
bleib ruhig.	keep calm.
bleiben sie ruhig.	keep calm.
bleib gelassen!	keep cool.
bleib unten.	keep down.
behalt’s!	keep that.
behalte sie.	keep them.
behalten sie sie.	keep them.
behaltet sie.	keep them.
behalt sie!	keep them.
behalte das!	keep this.
halt dich warm.	keep warm.
haltet euch warm.	keep warm.
halten sie sich warm.	keep warm.
tote sie!	kill them.
totet sie!	kill them.
toten sie sie!	kill them.
bring sie um!	kill them.
bringt sie um!	kill them.
bringen sie sie um!	kill them.
verlasse tom.	leave tom.
verlassen sie tom.	leave tom.
geh jetzt!	leave now.
geht jetzt!	leave now.
lass es sein.	let it be.
lass es bleiben.	let it be.
lass mich in ruhe.	let me be.
lassen sie mich gehen!	let me go!
lass mich gehen!	let me go!
lass mich herein.	let me in.
lass uns gehen.	let us go.
lassen sie uns gehen.	let us go.
essen wir etwas!	let's eat.
schauen wir mal.	let's see.
lass sehen.	let's see.
lasst es uns versuchen!	let's try!
lass es uns versuchen!	let's try!
lass es uns probieren!	let's try!
lieg still und beweg dich nicht.	lie still.
hor zu.	listen up.
schau weg.	look away.
schau nach hinten!	look back!
schau hinter dich.	look back.
guck runter.	look down.
schau hier.	look here.
schau her.	look here.
dreh es auf.	loosen it.
mach dich locker!	loosen up.
rutsch mal ein stuck!	move over.
guter schuss!	nice shot!
naturlich!	of course!
selbstverstandlich!	of course!
auf jeden fall!	of course!
na klar!	of course!
aber sicher doch!	of course!
bitte geh.	please go.
bitte geht.	please go.
bitte gehen sie.	please go.
setz es auf.	put it on.
tu es drauf.	put it on.
setz ihn auf.	put it on.
zieh sie an.	put it on.
setz sie auf.	put it on.
setz sie dir auf.	put it on.
zieh sie dir an.	put it on.
setz ihn dir auf.	put it on.
lies das hier.	read this.
wiederhole es!	repeat it.
wiederholen sie es	repeat it.
wiederholt es!	repeat it.
sag „ah!“	say "aah."
sag hallo.	say hello.
siehe unten.	see below.
fass ihn!	seize him!
fassen sie ihn!	seize him!
fasst ihn!	seize him!
wirklich?	seriously?
echt?	seriously?
ernsthaft?	seriously?
im ernst?	seriously?
echt jetzt?	seriously?
sie weinte.	she cried.
sie hat's versucht.	she tried.
sie geht.	she walks.
sie geht zu fuß.	she walks.
sie ist heiß.	she's hot.
unterschreibe hier.	sign here.
unterschreiben sie hier.	sign here.
unterschreiben sie das.	sign this.
unterschreib das.	sign this.
setz dich zu mir!	sit by me.
sitz still.	sit still.
sitzen sie still.	sit still.
setz dich dorthin.	sit there.
harre aus!	sit tight.
beginnen sie jetzt.	start now.
fang jetzt an.	start now.
bleiben sie weg.	stay away.
bleibt zuruck!	stay back.
bleib ruhig.	stay calm.
bleiben sie ruhig.	stay calm.
bleib ruhig.	stay cool.
bleibt ruhig.	stay cool.
bleiben sie ruhig.	stay cool.
bleib cool.	stay cool.
